epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,239.751,1.01217,1.14299,1.36557,0.60877,0.55754,0.60484,0.41028,1.14264,1.34339,1.54419,0.000848969,0.000848969,0.000848969
43,245.262,0.9876,1.13026,1.34986,0.78782,0.51955,0.68089,0.45927,1.17971,1.41137,1.60097,0.000834822,0.000834822,0.000834822
44,250.784,0.99509,1.11806,1.35789,0.68131,0.60021,0.66499,0.4375,1.22144,1.26563,1.61038,0.000820675,0.000820675,0.000820675
45,256.109,1.01593,1.11783,1.36859,0.75044,0.61781,0.70407,0.44219,1.1894,1.19513,1.59566,0.000806528,0.000806528,0.000806528
46,261.774,1.00563,1.13486,1.34822,0.66081,0.53459,0.6285,0.41493,1.14873,1.34649,1.54784,0.00079238,0.00079238,0.00079238
47,267.381,0.99531,1.11947,1.35538,0.59261,0.62342,0.63801,0.42568,1.11248,1.31627,1.49322,0.000778233,0.000778233,0.000778233
48,272.899,0.99871,1.0768,1.36013,0.61868,0.54353,0.59884,0.40604,1.22503,1.51418,1.58663,0.000764086,0.000764086,0.000764086
49,278.586,0.98275,1.059,1.35679,0.74673,0.50949,0.65791,0.4303,1.13613,1.34741,1.51618,0.000749939,0.000749939,0.000749939
50,284.218,0.98953,1.04563,1.34674,0.77396,0.52848,0.68062,0.44724,1.14078,1.19705,1.5403,0.000735792,0.000735792,0.000735792
51,289.706,0.97065,1.05482,1.33423,0.67313,0.50949,0.62454,0.41677,1.19159,1.38669,1.57596,0.000721645,0.000721645,0.000721645
52,295.203,0.96615,1.07544,1.33877,0.75269,0.57841,0.67827,0.45954,1.14394,1.21447,1.52389,0.000707498,0.000707498,0.000707498
53,300.737,0.95274,1.04158,1.32738,0.67663,0.61147,0.68323,0.44746,1.14428,1.27084,1.52817,0.000693351,0.000693351,0.000693351
